"","model","a","b","c","d","e","f","g"
"X","N1","0.013789763953797","0.0115214926414774",NA,NA,NA,NA,NA
"X.1","N2","0.013789763953797","0.00910595318148506",NA,NA,NA,NA,NA
"N13_coefficients","N13","0.013789763953797","0.000249950618872418","0.0101996267554463","-0.000869235354904383","-0.00221266204897536","-0.00252693135059021","-0.00682127447211407"
"X.2","G1","-4.60374311425082","0.962519278820633",NA,NA,NA,NA,NA
"X.3","G2","-4.49092557827119","0.757008754289111",NA,NA,NA,NA,NA
"G13_coefficients","G13","-4.89301363930611","-0.335596756387928","0.991261827823165","-0.314977898624599","-0.350483541848822","-0.462207423016438","-1.02917786482515"
"X.4","B1_alpha","-0.709211159471424","0.202256266229864",NA,NA,NA,NA,NA
"X.5","B1_beta","-0.797322531444534","0.0833811915344116",NA,NA,NA,NA,NA
"B13_alpha_coefficients","B2_alpha","-1.05666573284093","0.08015555590219","0.0374505990019022","-0.0844506861407306","0.00686601221977959","-0.0102517916516095","-0.0546884266022212"
"X.6","B2_beta","3.86855790571278","-0.537633802437814",NA,NA,NA,NA,NA
"X.7","B13_alpha","3.68984317991476","-0.597705091365818",NA,NA,NA,NA,NA
"B13_beta_coefficients","B13_beta","3.96980056891153","-0.314914422767123","-1.15103495050146","-0.0674599324492511","0.149660277319952","-0.111159551257827","0.553632520728652"
